8C 8S 8H 8D TS,8C TC KC 8C 4C
2D 3S 4D 5S AC,2C 2D 8D 4C 4C
7C 5H 8D TD KS,KS QS KC QC KH
KS KH KC 8S 7S,KS KC 7S 5C 4H
2C 2H 2S 4C 6C,KS KC 7S 5C 4H
9C 8S 8H 8C TS,9C TC KC 8C 4C
3D 3S 4D 5S AC,3C 2D 8D 4C 4C
8C 5H 8D TD KS,KS QS KC QC KH
KS KH KC 8S 7S,KS KC 7S 5C 4H
3C 2H 2S 4C 6C,KS KC 7S 5C 4H
TC 8S 8H 8C TS,TC TC KC 8C 4C
4D 3S 4D 5S AC,4C 2D 8D 4C 4C
9C 5H 8D TD KS,KS QS KC QC KH
KS KH KC 8S 7S,KS KC 7S 5C 4H
4C 2H 2S 4C 6C,KS KC 7S 5C 4H
JC 8S 8H 8C TS,KC TC KC 8C 4C
5D 3S 4D 5S AC,5C 2D 8D 4C 4C
TC 5H 8D TD KS,KS QS KC QC KH
KS KH KC 8S 7S,KS KC 7S 5C 4H
5C 2H 2S 4C 6C,KS KC 7S 5C 4H
2C 3H 4H 5S 6H,4C 5D 6D 7C 8C
2C 2H 2S 4C 6C,3H 3D 3C 4C 6C
KS KC 7S 5C 4H,KS KH KC 8S 7S
KS KC 7S 5C 4H,3C 2H 2S 4C 6C
TC TC KC 8C 4C,TC 8S 8H 8C TS
4C 2D 8D 4C 4C,4D 3S 4D 5S AC
KS QS KC QC KH,9C 5H 8D TD KS
KS KC 7S 5C 4H,KS KH KC 8S 7S
KS KC 7S 5C 4H,4C 2H 2S 4C 6C
JC TC KC 8C 4C,JC 8S 8H 8C TS
5C 2D 8D 4C 4C,5D 3S 4D 5S AC
KS QS KC QC KH,KC 5H 8D TD KS
KS KC 7S 5C 4H,KS KH KC 8S 7S
KS KC 7S 5C 4H,5C 2H 2S 4C 6C
4C 5D 6D 7C 8C,2C 3H 4H 5S 6H
3H 3D 3C 4C 6C,2C 2H 2S 4C 6C
AC 2C 4C 5S 3S ,6C 2C 4C 5S 3S 
6C 2C 4C 5S 3S ,6C 7C 4C 5S 3S 
6C 7C 4C 5S 3S ,6C 2C 4C 5S 3S 
AC AD AS 5S 3S ,KC KD KS 5S 3S 
